OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
STARLINK-35707,2025-265T,66533,PAY,+,US,2025-11-19,AFETR,,94.27,43.00,484,482,,,EA,ORB
STARLINK-35697,2025-265Z,66539,PAY,+,US,2025-11-19,AFETR,,94.27,43.00,484,482,,,EA,ORB
SHIJIAN-30A (SJ-30A),2025-266A,66545,PAY,+,PRC,2025-11-19,JSC,,95.01,51.80,524,515,,,EA,ORB
STARLINK-35744,2025-268AA,66581,PAY,+,US,2025-11-21,AFETR,,94.27,43.00,484,482,,,EA,ORB
PELICAN-6,2025-276AP,66703,PAY,+,US,2025-11-28,AFWTR,,93.83,97.35,464,460,,,EA,ORB
STARLINK-36084,2025-280J,66829,PAY,+,US,2025-12-02,AFWTR,,96.11,70.00,575,570,,,EA,ORB
STARLINK-36033,2025-283R,66893,PAY,+,US,2025-12-04,AFWTR,,93.85,53.16,464,462,,,EA,ORB
STARLINK-35765,2025-294M,67041,PAY,+,US,2025-12-11,AFETR,,94.27,43.00,484,482,,,EA,ORB
OBJECT AD,2025-313AD,67275,PAY,+,TBD,2025-12-28,VOSTO,,94.51,97.38,505,485,,,EA,ORB
OBJECT AJ,2025-313AJ,67280,PAY,+,TBD,2025-12-28,VOSTO,,94.54,97.39,506,486,,,EA,ORB
STARLINK-36454,2026-008AB,67470,PAY,+,US,2026-01-14,AFETR,,94.27,43.00,484,482,,,EA,ORB
TIANQI-39,2026-010C,67478,PAY,+,PRC,2026-01-15,YSLA,,102.91,44.98,906,887,,,EA,ORB
STARLINK-36417,2026-014B,67533,PAY,+,US,2026-01-22,AFWTR,,93.90,97.28,467,464,,,EA,ORB
STARLINK-36772,2026-026A,67721,PAY,+,US,2026-02-11,AFWTR,,93.91,97.28,466,465,,,EA,ORB
STARLINK-37062,2026-042U,68087,PAY,+,US,2026-03-04,AFETR,,93.85,53.16,464,462,,,EA,ORB
