OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ZY-1 02D,2019-059A,2026-09-11T15:38:04.669152,14.35281712,.00052927,98.6655,316.4647,111.2471,248.9280,0,U,44528,999,36674,.92054363E-4,.219E-5,0
COSMOS 2251 DEB,1993-036EX,2026-09-11T03:33:44.776224,14.38287962,.00202416,74.0358,132.9985,156.5051,6.2121,0,U,33942,999,92050,.1015102E-3,.283E-5,0
