OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FLOCK 4G-29,2025-009AK,2026-09-11T03:51:48.779136,15.32911213,.0001002,97.3971,335.8766,345.3953,14.7260,0,U,62642,999,9205,.93922E-3,.2986E-3,0
STARLINK-36187,2026-073M,2026-09-11T13:11:12.271776,15.33451522,.00014504,97.2845,92.7628,90.1317,270.0092,0,U,68613,999,2437,.39524554E-3,.12709E-3,0
