OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SUPERVIEW NEO-2 05,2026-062A,2026-09-09T13:29:09.607200,15.19719002,.00016444,97.4393,258.6707,88.0880,272.0543,0,U,68377,999,2546,.35156603E-4,.683E-5,0
SUPERVIEW NEO-2 06,2026-062B,2026-09-09T13:29:09.530304,15.19719156,.00013618,97.4391,258.6757,111.2352,248.9029,0,U,68378,999,2546,.36242116E-4,.706E-5,0
