OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1464,2020-038X,2026-09-11T16:00:01.999584,15.71531543,.00016849,53.0433,26.8218,79.1698,113.7082,0,U,45751,999,580,-.54869102E-3,-.71743E-3,0
STARLINK-11733 [DTC],2025-107J,2026-09-11T12:15:57.834720,15.70880663,.00022987,43.0009,58.0975,282.5289,77.5321,0,U,64072,999,7652,.49301496E-3,.63408E-3,0
