OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NANOSATC-BR1,2014-033Q,2026-09-11T13:49:02.342784,15.33961891,.00025226,98.0655,294.7670,218.2949,141.8113,0,U,40024,999,66721,.40762769E-3,.13313E-3,0
STARLINK-34689,2025-158T,2026-09-11T14:00:03.000384,15.33411601,.00016849,97.2838,113.0123,84.8396,125.2701,0,U,64949,999,579,.14243556E-2,.46142E-3,0
