OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CUBESX-HSE 3 (RS42S),2023-091N,2026-09-11T13:49:43.853664,15.33117072,.00112086,97.5013,321.3373,139.8581,220.3491,0,U,57178,999,17765,.32764451E-3,.10425E-3,0
STARLINK-32822,2025-022Q,2026-09-11T12:22:52.399200,15.34398729,.00013527,53.1615,343.4450,69.2693,290.8455,0,U,62868,999,9039,.70095382E-3,.23379E-3,0
