OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OBJECT AJ,2025-313AJ,2026-09-11T10:09:28.186560,15.23142279,.00143463,97.3935,327.8574,62.6690,297.6006,0,U,67280,999,3907,.16158112E-3,.3754E-4,0
BALKAN-2,2026-100AW,2026-09-11T04:24:49.595904,15.20829307,.00048593,97.3944,150.4309,69.3403,290.8353,0,U,69024,999,1987,.18244419E-3,.3958E-4,0
