OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OBJECT AD,2023-085AD,2026-09-11T14:37:30.597024,15.37135185,.00090255,97.5024,8.8227,126.5630,233.6446,0,U,57031,999,18004,.36272538E-3,.13126E-3,0
STARLINK-36286,2026-111Q,2026-09-11T00:34:42.009312,15.34386843,.00008676,53.1554,110.0453,95.6449,264.4653,0,U,69162,999,1744,.10280342E-2,.34503E-3,0
